,회사명,시기,지원분야,대학,계열,전공,학점,토익,토익스피킹,오픽,외국어,자격증,해외경험,인턴,수상내역,봉사
21,신한은행,2022년,은행원·텔러,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
22,신한은행,2022년,앱개발자,서울4년제,인문과학계열,중국외교통상전공,3.93,-,Lv6,-,1개,4개,-,-,-,-
23,신한은행,2022년,금융영업,서울4년제,인문과학계열,철학과,3.2,840점,-,-,-,-,-,-,-,-
24,신한은행,2021년,금융영업,서울4년제,상경계열,경영학부,3.5,-,Lv6,-,-,14개,1회,11회,-,8회
25,신한은행,2021년,금융영업,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
26,신한은행,2021년,금융영업,서울4년제,사회과학계열,사회학과,4.14,925점,-,IM2,-,-,-,-,1회,1회
27,신한은행,2021년,금융영업,서울4년제,상경계열,경제학과,3.96,900점,-,-,-,3개,-,-,-,-
28,신한은행,2020년,금융영업,지방4년제,상경계열,경제학부,4.17,860점,-,-,-,2개,-,-,1회,5회
29,신한은행,2020년,금융영업,서울4년제,상경계열,경영학과,3.74,975점,Lv7,-,-,-,1회,1회,1회,3회
30,(주)한국스탠다드차타드은행,2018년,금융영업,수도권4년제,상경계열,경영학과,3.51,795점,-,-,-,-,-,-,-,-
31,(주)한국스탠다드차타드은행,2017년,금융영업,수도권4년제,상경계열,경영학과,3.51,795점,-,-,-,-,-,-,-,-
32,(주)한국스탠다드차타드은행,2016년,설문·리서치,대학원,인문과학계열,통계,4.22,905점,-,-,-,2개,1회,-,-,-
33,(주)한국스탠다드차타드은행,2016년,온라인마케터,지방4년제,자연과학계열,전산통계,3.47,-,-,-,-,4개,-,-,-,1회
34,(주)한국스탠다드차타드은행,2016년,금융영업,서울4년제,인문과학계열,문헌정보,3.1,-,-,-,-,1개,-,1회,-,2회
35,(주)한국스탠다드차타드은행,2016년,금융영업,해외대학,상경계열,응용금융학,3.08,-,-,-,-,3개,-,-,-,-
36,(주)한국스탠다드차타드은행,2016년,네트워크엔지니어,지방4년제,공학계열,정보통신공학,3.1,680점,-,IL,-,2개,-,-,-,-
37,(주)한국스탠다드차타드은행,2015년,영업지원,서울4년제,경영,,-,-,-,-,-,5개,-,2회,-,-
38,(주)한국스탠다드차타드은행,2015년,,지방4년제,정보통신공학,,3.1,680점,-,-,-,2개,-,-,-,-
39,(주)한국스탠다드차타드은행,2015년,,지방4년제,공학,,3.8,925점,-,-,-,-,-,-,-,-
40,한국전력공사,2022년,전기·전자엔지니어,대학원,공학계열,전기공학과,0.32,-,-,IH,-,5개,-,-,-,-
41,한국전력공사,2022년,전기·전자엔지니어,지방4년제,공학계열,전자공학,3.5,860점,-,-,-,-,-,-,-,-
42,한국전력공사,2021년,사무담당자,대학원,어문학계열,중국어교육전공,4.16,940점,-,AL,2개,-,4회,-,-,-
43,한국전력공사,2021년,사무담당자,대학원,어문학계열,중국어교육전공,4.16,940점,-,AL,2개,-,4회,-,-,-
44,한국전력공사,2021년,사무담당자,지방4년제,법학계열,법학과,3.6,740점,-,-,-,3개,-,-,1회,-
45,한국전력공사,2021년,기술·전문강사,수도권4년제,공학계열,정보통신공학,3.17,930점,-,IH,1개,1개,14회,-,-,3회
46,한국전력공사,2020년,전기·전자엔지니어,고졸,-,,-,-,-,-,-,4개,2회,4회,-,6회
47,한국전력공사,2020년,사무담당자,수도권4년제,상경계열,경영학과,3.57,910점,Lv6,-,-,3개,-,1회,1회,3회
48,한국전력공사,2020년,전기·전자엔지니어,고졸,-,,-,-,-,-,-,4개,2회,4회,-,6회
49,한국전력공사,2020년,전기·전자엔지니어,고졸,-,,-,-,-,-,-,4개,2회,4회,-,6회
50,현대자동차㈜,2023년,품질관리자,서울4년제,공학계열,전자정보통신공학과,4.07,-,IH,-,-,3개,-,1회,-,4회
51,현대자동차㈜,2023년,R&D·연구원,대학원,공학계열,기계공학과,4.19,-,-,IM1,-,1개,-,-,-,1회
52,현대자동차㈜,2022년,R&D·연구원,수도권4년제,공학계열,신소재,3.65,-,-,IH,-,-,1회,1회,-,1회
53,현대자동차㈜,2022년,온라인마케터,서울4년제,상경계열,경영학과,3.79,895점,-,IM2,-,1개,1회,-,1회,2회
54,현대자동차㈜,2022년,온라인마케터,서울4년제,상경계열,경영학과,3.79,895점,-,IM2,-,1개,1회,-,1회,2회
55,현대자동차㈜,2022년,백엔드개발자,수도권4년제,공학계열,전자공학과,3.32,-,-,-,-,-,-,1회,-,2회
56,현대자동차㈜,2022년,품질관리자,지방4년제,공학계열,산업공학,3.87,875점,Lv6,-,-,2개,1회,-,1회,2회
57,현대자동차㈜,2022년,온라인마케터,서울4년제,상경계열,경영학과,4.32,985점,-,IH,-,2개,1회,2회,1회,3회
58,현대자동차㈜,2022년,온라인마케터,서울4년제,상경계열,경영학과,4.32,985점,-,IH,-,2개,1회,2회,1회,3회
59,현대자동차㈜,2022년,품질관리자,지방4년제,공학계열,전기전자공학과,3.83,855점,Lv6,-,-,2개,-,-,1회,-
60,엘지전자㈜,2023년,소프트웨어개발자,수도권4년제,공학계열,컴퓨터공학과,3.83,945점,-,IM1,-,3개,-,3회,-,2회
61,엘지전자㈜,2023년,인사담당자,서울4년제,상경계열,경영학과,3.5,-,IH,-,-,4개,-,-,1회,4회
62,엘지전자㈜,2023년,소프트웨어개발자,수도권4년제,공학계열,전자공학과,3.7,-,-,IM1,-,1개,-,2회,1회,-
63,엘지전자㈜,2023년,소프트웨어개발자,대학원,인공지능융합학과,,4.13,-,-,IH,-,-,-,3회,-,3회
64,엘지전자㈜,2022년,R&D·연구원,수도권4년제,공학계열,신소재,3.65,-,-,IH,-,-,1회,1회,-,1회
65,엘지전자㈜,2022년,R&D·연구원,수도권4년제,공학계열,신소재,3.65,-,-,IH,-,-,1회,1회,-,1회
66,엘지전자㈜,2022년,설계엔지니어,서울4년제,공학계열,기계공학과,3.55,-,-,IM1,-,2개,-,1회,-,-
67,엘지전자㈜,2022년,전기·전자엔지니어,서울4년제,공학계열,전자전기공학부,3.95,-,-,IM1,-,-,-,-,-,3회
68,엘지전자㈜,2022년,전기·전자엔지니어,서울4년제,공학계열,신소재공학과,3.66,940점,-,IH,-,-,-,-,-,2회
69,엘지전자㈜,2021년,인사담당자,대학원,어문학계열,중국어교육전공,4.16,940점,-,AL,2개,-,4회,-,-,-
70,㈜국민은행,2023년,금융영업,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
71,㈜국민은행,2022년,은행원·텔러,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
72,㈜국민은행,2021년,온라인마케터,서울4년제,상경계열,경영학부,3.5,-,Lv6,-,-,14개,1회,11회,-,8회
73,㈜국민은행,2021년,온라인마케터,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
74,㈜국민은행,2021년,금융영업,서울4년제,사회과학계열,사회학과,4.14,925점,-,IM2,-,-,-,-,1회,1회
75,㈜국민은행,2020년,금융영업,대학원,어문학계열,한문학과,3,825점,-,IM2,1개,6개,2회,-,-,-
76,㈜국민은행,2020년,금융영업,지방4년제,상경계열,경제학부,4.17,860점,-,-,-,2개,-,-,1회,5회
77,㈜국민은행,2020년,머신러닝엔지니어,서울4년제,상경계열,IT경영,3.7,-,-,-,-,-,-,-,-,-
78,㈜국민은행,2020년,웹개발자,수도권4년제,상경계열,IT경영,3.72,-,-,-,-,4개,1회,-,-,-
79,㈜국민은행,2019년,금융영업,서울4년제,사회과학계열,가족복지학과,3.26,810점,-,IM2,-,2개,-,-,-,1회
80,포스코홀딩스,2022년,온라인마케터,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
81,포스코홀딩스,2022년,생산직종사자,초대졸,공학계열,제철산업과,0.4,-,-,-,-,6개,-,-,-,-
82,포스코홀딩스,2021년,온라인마케터,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
83,포스코홀딩스,2021년,생산직종사자,서울4년제,공학계열,화학공학.고분자공학과,3.8,-,-,IH,-,1개,-,-,-,-
84,포스코홀딩스,2021년,재무담당자,서울4년제,상경계열,경영학과,4.15,965점,-,IH,1개,-,2회,3회,1회,1회
85,포스코홀딩스,2021년,인사담당자,대학원,어문학계열,중국어교육전공,4.16,940점,-,AL,2개,-,4회,-,-,-
86,포스코홀딩스,2021년,품질관리자,대학원,공학계열,신소재공학부,3.78,-,Lv6,-,-,3개,-,2회,2회,1회
87,포스코홀딩스,2021년,품질관리자,대학원,공학계열,신소재공학부,3.78,-,Lv6,-,-,3개,-,2회,2회,1회
88,포스코홀딩스,2020년,품질관리자,대학원,공학계열,신소재공학부,3.78,-,Lv6,-,-,3개,-,1회,1회,1회
89,포스코홀딩스,2020년,온라인마케터,서울4년제,어문학계열,중어중문학과,4.17,920점,Lv7,-,1개,2개,2회,1회,1회,2회
90,GS칼텍스(주),2021년,품질관리자,서울4년제,공학계열,화학공학과,4.32,965점,Lv6,-,-,1개,-,-,-,-
91,GS칼텍스(주),2021년,인사담당자,대학원,어문학계열,중국어교육전공,4.16,940점,-,AL,2개,-,4회,-,-,-
92,GS칼텍스(주),2021년,생산직종사자,서울4년제,공학계열,화학공학.고분자공학과,3.8,-,-,IH,-,1개,-,-,-,-
93,GS칼텍스(주),2021년,생산직종사자,서울4년제,공학계열,화학공학.고분자공학과,3.8,-,-,IH,-,1개,-,-,-,-
94,GS칼텍스(주),2021년,품질관리자,서울4년제,공학계열,화공생물공학과,4.39,-,Lv7,-,1개,-,-,6회,-,2회
95,GS칼텍스(주),2021년,품질관리자,서울4년제,공학계열,화학공학부,3.87,860점,-,IH,-,2개,-,2회,-,2회
96,GS칼텍스(주),2019년,제품영업,서울4년제,어문학계열,중어중문과,4.31,970점,Lv7,-,1개,3개,2회,-,2회,3회
97,GS칼텍스(주),2019년,제품영업,서울4년제,어문학계열,중어중문과,4.31,970점,Lv7,-,1개,3개,2회,-,2회,3회
98,GS칼텍스(주),2019년,화학엔지니어,서울4년제,공학계열,화학공학/고분자공학부,4.25,980점,Lv6,-,-,3개,-,-,1회,-
99,GS칼텍스(주),2018년,무역사무원,수도권4년제,공학계열,산업경영공학과,3.67,890점,Lv7,-,-,2개,-,-,-,1회
100,삼성생명보험㈜,2023년,소프트웨어개발자,서울4년제,어문학계열,영어영문학,3.92,980점,Lv7,-,1개,1개,1회,-,-,-
101,삼성생명보험㈜,2021년,영업지원,대학원,정책미디어연구과,,4.34,845점,-,IH,2개,-,2회,-,-,3회
102,삼성생명보험㈜,2020년,금융영업,서울4년제,상경계열,경영학과,3.74,975점,Lv7,-,-,-,1회,1회,1회,3회
103,삼성생명보험㈜,2020년,금융영업,서울4년제,상경계열,경영학과,3.74,975점,Lv7,-,-,-,1회,1회,1회,3회
104,삼성생명보험㈜,2019년,심사,서울4년제,자연과학계열,응용통계학과,3.67,990점,Lv8,AL,-,1개,1회,1회,1회,2회
105,삼성생명보험㈜,2019년,심사,서울4년제,자연과학계열,응용통계학과,3.67,990점,Lv8,AL,-,1개,1회,1회,1회,2회
106,삼성생명보험㈜,2019년,영업지원,서울4년제,상경계열,경영학과,3.73,930점,Lv6,-,-,-,-,-,1회,3회
107,삼성생명보험㈜,2018년,심사,서울4년제,상경계열,글로벌경영학과,4.02,-,-,IH,-,5개,-,-,1회,2회
108,삼성생명보험㈜,2017년,영업지원,서울4년제,법학계열,법학과,4.31,935점,Lv5,-,-,5개,-,-,-,-
109,삼성생명보험㈜,2017년,시설관리자,지방4년제,사회과학계열,정보보호학과,3.2,870점,-,IH,-,2개,-,2회,-,-
110,㈜하나은행,2023년,은행원·텔러,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
111,㈜하나은행,2021년,금융영업,대학원,공학계열,전자계산학과,3.31,-,-,-,-,2개,-,-,-,3회
112,㈜하나은행,2019년,금융영업,서울4년제,상경계열,경영학부,3.9,980점,-,AL,-,-,1회,-,1회,3회
113,㈜하나은행,2018년,금융영업,지방4년제,상경계열,경제학과,4,955점,-,AL,-,1개,-,-,1회,-
114,㈜하나은행,2018년,금융영업,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
115,㈜하나은행,2018년,금융영업,서울4년제,상경계열,글로벌경영학과,3.4,930점,Lv6,AL,-,-,-,-,-,-
116,㈜하나은행,2018년,금융영업,서울4년제,사회과학계열,사회과학대학,3.58,955점,Lv6,-,-,1개,-,-,-,2회
117,㈜하나은행,2018년,금융영업,지방4년제,상경계열,경영학과,3.9,-,-,-,-,-,1회,1회,-,-
118,㈜하나은행,2018년,금융영업,서울4년제,상경계열,경영학과,4,850점,-,-,-,2개,-,-,-,2회
119,㈜하나은행,2018년,금융영업,지방4년제,상경계열,경영정보학과,3.57,-,-,-,-,-,1회,1회,1회,1회
120,SK네트웍스(주),2019년,영업지원,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,2개,-,-,1회,2회
121,SK네트웍스(주),2016년,,서울4년제,"정치외교학,경영학",,3.41,-,Lv6,-,-,1개,-,-,1회,-
122,SK네트웍스(주),2016년,,서울4년제,중문과,,3.5,-,Lv7,-,-,-,1회,-,1회,-
123,SK네트웍스(주),2016년,,서울4년제,경영학과,,3.13,-,Lv7,-,-,-,-,-,1회,-
124,SK네트웍스(주),2016년,,해외대학,문과,,-,-,-,-,-,-,-,-,-,-
125,SK네트웍스(주),2016년,,지방4년제,"중어중문,행정학",,3.51,-,Lv6,-,-,2개,1회,-,-,-
126,SK네트웍스(주),2016년,,서울4년제,호텔경영,,3.84,905점,Lv7,-,-,-,-,-,1회,-
127,SK네트웍스(주),2016년,,수도권4년제,경영학과,,3.96,785점,Lv6,-,-,4개,-,-,-,1회
128,SK네트웍스(주),2016년,,지방4년제,경영,,3.6,-,Lv8,-,-,3개,-,-,-,2회
129,SK네트웍스(주),2016년,,지방4년제,상경,,3.3,-,-,-,-,3개,-,-,-,-
130,에이치디한국조선해양㈜,2023년,홍보,서울4년제,어문학계열,어문학과,3.7,-,-,-,-,-,-,-,-,-
131,에이치디한국조선해양㈜,2019년,인사담당자,서울4년제,상경계열,경영학과,3.91,980점,Lv7,AL,-,1개,1회,1회,1회,3회
132,에이치디한국조선해양㈜,2016년,,지방4년제,전자공학부,,4.1,735점,-,-,-,-,-,-,-,-
133,에이치디한국조선해양㈜,2016년,,수도권4년제,공학,기계공학,3.8,835점,-,-,-,-,-,-,-,-
134,에이치디한국조선해양㈜,2016년,,지방4년제,기계공학과,,4.2,985점,-,-,-,2개,-,-,-,-
135,에이치디한국조선해양㈜,2016년,,지방4년제,환경공학과,,4.1,855점,-,-,-,2개,-,-,-,-
136,에이치디한국조선해양㈜,2016년,,수도권4년제,전기공학,,3.6,890점,-,-,-,-,-,-,-,-
137,에이치디한국조선해양㈜,2016년,,서울4년제,신소재공학,,3.4,845점,-,-,-,3개,1회,-,-,-
138,에이치디한국조선해양㈜,2016년,,서울4년제,기계시스템디자인,,3.8,900점,-,-,-,2개,-,-,-,-
139,에이치디한국조선해양㈜,2016년,,서울4년제,공학,,4.3,705점,-,-,-,3개,2회,-,1회,1회
140,중소기업은행,2023년,소프트웨어개발자,서울4년제,어문학계열,영어영문학,3.92,965점,-,IH,-,1개,1회,-,-,2회
141,중소기업은행,2023년,소프트웨어개발자,서울4년제,어문학계열,영어영문학,3.92,965점,-,IH,-,1개,1회,-,-,2회
142,중소기업은행,2022년,재무담당자,대학원,인문과학계열,고고문화인류학과,3.96,777점,Lv7,AL,4개,2개,2회,1회,1회,6회
143,중소기업은행,2021년,금융영업,서울4년제,상경계열,경영학,4.01,985점,-,AL,-,-,-,-,-,2회
144,중소기업은행,2020년,금융영업,서울4년제,상경계열,경영학부,3.5,-,Lv6,-,-,14개,1회,11회,-,8회
145,중소기업은행,2020년,금융영업,대학원,어문학계열,한문학과,3,825점,-,IM2,1개,6개,2회,-,-,-
146,중소기업은행,2020년,금융영업,서울4년제,사회과학계열,사회학과,3.66,915점,-,-,-,-,-,-,-,2회
147,중소기업은행,2020년,금융영업,지방4년제,상경계열,경제학부,4.17,860점,-,-,-,2개,-,-,1회,5회
148,중소기업은행,2020년,머신러닝엔지니어,서울4년제,상경계열,IT경영,3.7,-,-,-,-,-,-,-,-,-
149,중소기업은행,2020년,금융영업,서울4년제,상경계열,경영학부,3.5,-,Lv6,-,-,14개,1회,11회,-,8회
150,엘지디스플레이,2022년,품질관리자,지방4년제,공학계열,안전공학과,3.51,-,-,IM1,-,2개,-,3회,1회,9회
151,엘지디스플레이,2022년,R&D·연구원,대학원,자연과학계열,화학,4.06,840점,Lv6,-,-,-,-,-,-,-
152,엘지디스플레이,2022년,반도체엔지니어,서울4년제,공학계열,전자정보공학부,3.81,-,-,IM1,-,1개,-,1회,-,1회
153,엘지디스플레이,2022년,품질관리자,서울4년제,공학계열,신소재공학부,3.58,880점,-,IM1,1개,1개,-,-,-,-
154,엘지디스플레이,2022년,반도체엔지니어,서울4년제,공학계열,전자정보공학부,3.81,-,-,IM1,-,1개,-,1회,-,1회
155,엘지디스플레이,2022년,반도체엔지니어,대학원,자연과학계열,전자바이오물리학과,4.42,-,-,IM1,-,-,-,1회,-,-
156,엘지디스플레이,2022년,품질관리자,지방4년제,공학계열,화학공학,3.7,-,-,IM2,-,1개,-,-,-,-
157,엘지디스플레이,2022년,온라인마케터,서울4년제,상경계열,경영학과,4.32,985점,-,IH,-,2개,1회,2회,1회,3회
158,엘지디스플레이,2021년,생산·공정관리자,서울4년제,공학계열,환경공학부,4.06,965점,-,AL,1개,3개,1회,1회,-,-
159,엘지디스플레이,2021년,경영·비즈니스기획,서울4년제,상경계열,경영학과,4.15,965점,-,IH,1개,-,2회,3회,1회,1회
160,(주)한국씨티은행,2023년,금융영업,대학원,법,,0.41,860점,-,IH,-,2개,2회,-,1회,-
161,(주)한국씨티은행,2020년,앱개발자,서울4년제,공학계열,컴퓨터공학과,3.5,875점,-,-,-,1개,-,-,-,1회
162,(주)한국씨티은행,2016년,금융영업,서울4년제,종교학계열,신,3.25,-,-,-,-,-,3회,-,-,1회
163,(주)한국씨티은행,2015년,웹디자이너,초대졸,예/체능학계열,디지털미디어디자인,3.9,-,-,-,-,1개,-,-,2회,-
164,(주)한국씨티은행,2015년,심사,초대졸,예/체능학계열,의상과,3.8,-,-,-,-,3개,-,-,-,-
165,(주)한국씨티은행,2015년,QA,서울4년제,자연과학계열,수,3.2,-,Lv6,-,1개,1개,1회,-,-,-
166,(주)한국씨티은행,2015년,금융영업,서울4년제,예/체능학계열,체육학과,4.16,-,-,-,-,3개,1회,-,-,-
167,(주)한국씨티은행,2015년,사무담당자,서울4년제,상경계열,경영학,3.58,875점,-,-,-,-,1회,-,-,-
168,(주)한국씨티은행,2015년,비서,서울4년제,어문학계열,영어영문학,3.75,-,-,AL,-,-,2회,-,-,-
169,(주)한국씨티은행,2015년,네트워크엔지니어,수도권4년제,컴퓨터공,,-,-,-,IL,-,5개,-,1회,-,2회
170,한국가스공사,2021년,설비엔지니어,지방4년제,공학계열,기계공학과,4.29,-,Lv6,-,-,2개,-,1회,-,-
171,한국가스공사,2021년,기계엔지니어,고졸,-,,-,-,-,-,-,7개,-,-,-,-
172,한국가스공사,2021년,전기기사,고졸,-,,-,-,-,-,-,4개,-,-,-,-
173,한국가스공사,2021년,전기기사,고졸,-,,-,-,-,-,-,4개,-,-,-,-
174,한국가스공사,2021년,건축기사,지방4년제,공학계열,건축공학과,3.8,900점,Lv6,-,-,1개,-,-,-,-
175,한국가스공사,2021년,전기·전자엔지니어,서울4년제,공학계열,전기공학과,3.27,850점,-,-,-,4개,-,-,-,-
176,한국가스공사,2021년,화학엔지니어,서울4년제,공학계열,화학공학부,3.87,860점,-,IH,-,2개,-,2회,-,2회
177,한국가스공사,2020년,전기·전자엔지니어,고졸,-,,-,-,-,-,-,8개,-,1회,-,2회
178,한국가스공사,2020년,화학엔지니어,대학원,공학계열,반도체&디스플레이과학경영학과,3.95,760점,-,-,-,2개,1회,-,1회,-
179,한국가스공사,2020년,시스템엔지니어,대학원,공학계열,전자계산학과,3.31,-,-,-,-,2개,-,-,-,3회
180,기아㈜,2023년,마케팅기획,대학원,상경계열,경영정보전공,4.5,765점,-,IH,-,3개,-,1회,-,4회
181,기아㈜,2022년,전기·전자엔지니어,서울4년제,공학계열,로봇학부,3.98,925점,Lv7,-,-,-,-,-,1회,1회
182,기아㈜,2022년,생산·공정관리자,수도권4년제,공학계열,기계과,3.5,900점,-,13,-,2개,-,-,-,3회
183,기아㈜,2022년,공정엔지니어,수도권4년제,공학계열,신소재,3.65,-,-,IH,-,-,1회,1회,-,1회
184,기아㈜,2022년,생산직종사자,수도권4년제,공학계열,기계공학과,3.52,-,Lv6,-,-,1개,-,2회,-,3회
185,기아㈜,2022년,품질관리자,지방4년제,공학계열,산업공학,3.87,875점,Lv6,-,-,2개,1회,-,1회,2회
186,기아㈜,2022년,생산직종사자,서울4년제,공학계열,기계로봇에너지공학과,3.75,800점,AL,-,-,-,-,-,-,-
187,기아㈜,2022년,기계엔지니어,서울4년제,공학계열,기계로봇에너지공학과,3.75,800점,AL,-,-,-,-,-,-,-
188,기아㈜,2021년,품질관리자,수도권4년제,공학계열,산업경영공학과,3.67,885점,Lv6,-,-,-,-,-,-,5회
189,기아㈜,2021년,품질관리자,수도권4년제,공학계열,산업경영공학과,3.67,885점,Lv6,-,-,-,-,-,-,5회
190,S-OIL,2022년,설비엔지니어,수도권4년제,공학계열,신소재,3.65,-,-,IH,-,-,1회,1회,-,1회
191,S-OIL,2022년,품질관리자,수도권4년제,공학계열,신소재,3.68,805점,-,IH,-,1개,-,-,1회,-
192,S-OIL,2019년,사무담당자,서울4년제,어문학계열,영어영문학,3.92,980점,Lv7,-,1개,1개,1회,-,-,-
193,S-OIL,2017년,품질관리자,서울4년제,공학계열,전기공학,3.7,890점,-,-,-,3개,3회,1회,-,2회
194,S-OIL,2017년,품질관리자,서울4년제,공학계열,전기공학,3.7,890점,-,-,-,3개,3회,1회,-,2회
195,S-OIL,2016년,경영·비즈니스기획,서울4년제,상경계열,경영학과,3.82,920점,Lv7,-,-,-,-,-,1회,2회
196,S-OIL,2016년,,서울4년제,화학공학부,,3.73,900점,Lv6,-,-,2개,-,-,-,-
197,S-OIL,2016년,,서울4년제,-,,3.61,900점,-,-,-,3개,-,-,-,-
198,S-OIL,2016년,,서울4년제,화공,,3.8,845점,-,-,-,-,-,-,-,-
199,S-OIL,2016년,,서울4년제,경제학과,,4.23,-,Lv8,-,-,-,-,-,-,-
200,㈜하나은행,2018년,금융영업,지방4년제,상경계열,경제학과,4,955점,-,AL,-,1개,-,-,1회,-
201,㈜하나은행,2016년,금융영업,초대졸,사회과학계열,관광경영전공,4.02,-,-,-,-,2개,-,-,-,2회
202,㈜하나은행,2016년,설문·리서치,대학원,사회과학계열,응용통계,3.81,845점,-,-,-,1개,1회,1회,-,1회
203,㈜하나은행,2016년,사무보조,초대졸,사회과학계열,사회복지,3.8,-,-,-,-,1개,-,-,-,-
204,㈜하나은행,2016년,시설관리자,초대졸,영어통역과,,-,530점,-,-,-,-,-,-,-,-
205,㈜하나은행,2016년,제품영업,초대졸,귀금속비주얼디자인,,-,-,-,-,-,3개,-,-,-,-
206,㈜하나은행,2016년,인바운드상담원,고졸,-,,-,-,-,-,-,-,-,-,-,-
207,㈜하나은행,2016년,아웃바운드상담원,고졸,-,,-,-,-,-,-,-,-,-,-,-
208,㈜하나은행,2016년,재무담당자,지방4년제,상경계열,경영학과,3.21,-,-,-,-,1개,-,-,-,-
209,㈜하나은행,2016년,사무담당자,수도권4년제,산업경제,,-,-,-,-,1개,-,-,-,-,-
210,㈜KT,2023년,영업관리,대학원,인문과학계열,국제관광학과,3.73,-,IM3,-,-,3개,-,3회,-,15회
211,㈜KT,2023년,R&D·연구원,대학원,공학계열,전기전자공학부,4.2,920점,-,IH,1개,-,1회,-,-,1회
212,㈜KT,2023년,R&D·연구원,대학원,공학계열,전기전자공학부,4.2,920점,-,IH,1개,-,1회,-,-,1회
213,㈜KT,2023년,네트워크엔지니어,대학원,공학계열,전파정보통신공학과,3.65,770점,Lv6,-,-,3개,-,-,-,-
214,㈜KT,2023년,R&D·연구원,대학원,인공지능융합학과,,4.13,-,-,IH,-,-,-,3회,-,3회
215,㈜KT,2023년,소프트웨어개발자,서울4년제,어문학계열,영어영문학,3.92,965점,-,IH,-,1개,1회,-,-,2회
216,㈜KT,2022년,머신러닝엔지니어,서울4년제,자연과학계열,통계학과,3.6,840점,-,-,-,-,-,-,-,-
217,㈜KT,2022년,경영·비즈니스기획,수도권4년제,예/체능학계열,가구디자인전공,4.44,666점,Lv6,IM1,4개,2개,1회,1회,2회,4회
